CustomerID,Age,Gender,Location,JoinDate,LoyaltyScore
CUST_00097,38,F,Philadelphia,2021-08-30,75
CUST_00098,38,F,San Diego,2022-12-24,33
CUST_00099,35,F,Dallas,2023-07-19,28
CUST_00100,32,F,New York,2022-12-18,96
CUST_00101,18,F,New York,2023-01-03,80
CUST_00102,29,M,San Diego,2023-06-01,9
CUST_00103,30,M,San Antonio,2022-02-14,75
CUST_00104,25,F,Dallas,2023-04-03,6
CUST_00105,33,M,Chicago,2022-01-13,49
CUST_00106,39,M,San Jose,2021-05-17,91
CUST_00107,57,F,Phoenix,2022-02-01,76
CUST_00108,37,M,Chicago,2022-03-09,22
CUST_00109,38,F,Phoenix,2023-10-20,48
CUST_00110,34,F,San Jose,2022-04-18,21
CUST_00111,18,Other,New York,2022-03-22,33
CUST_00112,34,F,Houston,2023-07-10,81
CUST_00113,35,M,Philadelphia,2022-07-04,56
CUST_00114,64,F,Los Angeles,2021-12-16,29
CUST_00115,32,F,San Antonio,2023-04-26,53
CUST_00116,38,Other,San Diego,2023-07-18,40
CUST_00117,34,M,New York,2022-09-15,74
CUST_00118,20,M,Houston,2022-12-09,18
CUST_00119,48,F,Houston,2023-03-31,47
CUST_00120,44,M,Phoenix,2021-05-29,13
CUST_00121,44,F,Houston,2022-03-17,27
CUST_00122,24,M,Dallas,2022-01-27,62
CUST_00123,51,M,San Antonio,2022-06-10,74
CUST_00124,18,M,Los Angeles,2023-05-22,96
CUST_00125,42,M,New York,2022-01-30,45
CUST_00126,61,F,Dallas,2023-02-03,3
CUST_00127,23,F,New York,2021-08-21,22
CUST_00128,28,M,Philadelphia,2021-11-06,27
CUST_00129,36,F,Los Angeles,2021-10-29,55
CUST_00130,28,M,Houston,2023-11-05,67
CUST_00131,18,F,Philadelphia,2023-05-12,33
CUST_00132,35,M,Phoenix,2021-09-12,2
CUST_00133,22,F,Philadelphia,2023-11-30,75
CUST_00134,40,F,Chicago,2021-09-29,46
CUST_00135,23,F,Phoenix,2023-02-12,74
CUST_00136,53,F,Los Angeles,2022-11-17,33
CUST_00137,25,F,San Antonio,2023-04-02,58
CUST_00138,31,Other,Chicago,2023-10-26,7
CUST_00139,44,F,New York,2023-05-30,15
CUST_00140,20,F,San Diego,2021-06-10,26
CUST_00141,37,F,San Diego,2021-05-11,11
CUST_00142,50,M,Chicago,2022-05-31,38
CUST_00143,18,F,San Antonio,2021-07-18,27
CUST_00144,37,M,Dallas,2021-12-27,7
CUST_00145,38,F,San Diego,2023-02-13,1
CUST_00146,44,F,Chicago,2023-05-29,74
CUST_00147,20,F,Los Angeles,2022-03-01,21
CUST_00148,19,M,San Jose,2022-08-08,79
CUST_00149,41,M,San Antonio,2022-11-22,30
CUST_00150,38,F,San Antonio,2021-07-10,94
CUST_00151,38,F,Dallas,2021-06-09,8
CUST_00152,39,M,Phoenix,2022-03-14,88
CUST_00153,26,M,Houston,2022-09-19,83
CUST_00154,37,F,San Diego,2023-08-08,3
CUST_00155,38,F,Houston,2023-04-05,55
CUST_00156,26,M,Houston,2023-08-12,15
CUST_00157,57,M,Los Angeles,2023-04-24,36
CUST_00158,40,M,New York,2021-11-30,6
CUST_00159,20,Other,Houston,2022-06-06,42
CUST_00160,42,M,San Antonio,2022-06-29,50
CUST_00161,23,M,Dallas,2023-04-07,18
CUST_00162,44,M,Dallas,2021-11-28,83
CUST_00163,48,M,San Jose,2022-05-13,50
CUST_00164,25,F,New York,2022-10-20,30
CUST_00165,46,M,Phoenix,2021-06-26,77
CUST_00166,39,M,San Antonio,2022-05-14,39
CUST_00167,44,M,San Antonio,2022-11-19,12
CUST_00168,57,M,San Jose,2022-12-27,98
CUST_00169,32,M,Philadelphia,2023-05-22,59
CUST_00170,25,F,San Jose,2023-08-13,76
CUST_00171,24,F,Houston,2022-07-29,44
CUST_00172,25,F,Chicago,2022-08-14,88
CUST_00173,34,F,Dallas,2023-09-30,4
CUST_00174,39,F,San Jose,2021-11-19,36
CUST_00175,38,M,Houston,2023-11-14,48
CUST_00176,44,F,San Diego,2021-08-03,14
CUST_00177,35,F,New York,2023-09-11,81
CUST_00178,52,F,San Antonio,2023-07-29,49
CUST_00179,31,F,Philadelphia,2022-03-30,67
CUST_00180,67,M,New York,2023-07-22,87
CUST_00181,42,F,Houston,2021-10-12,77
CUST_00182,24,F,Phoenix,2022-02-04,9
CUST_00183,22,Other,San Diego,2022-10-26,21
CUST_00184,40,M,Houston,2022-05-01,72
CUST_00185,32,M,Chicago,2023-10-28,81
CUST_00186,43,M,Los Angeles,2022-12-03,16
CUST_00187,40,F,Houston,2022-12-07,16
CUST_00188,34,M,San Jose,2022-05-01,28
CUST_00189,24,M,Houston,2022-09-09,51
CUST_00190,18,Other,San Jose,2022-07-09,56
CUST_00191,29,M,Phoenix,2023-04-19,80
CUST_00192,45,F,San Antonio,2021-04-12,57
CUST_00193,37,M,Dallas,2022-06-14,52
CUST_00194,20,F,Los Angeles,2021-08-03,46
CUST_00195,37,F,Phoenix,2021-05-11,78
CUST_00196,39,F,San Jose,2023-12-21,38
CUST_00197,24,F,Dallas,2022-02-04,84
CUST_00198,36,M,Chicago,2021-12-24,48
CUST_00199,35,M,New York,2023-09-06,41
CUST_00200,21,M,Los Angeles,2022-02-02,98
CUST_00201,39,F,Philadelphia,2021-07-09,59
CUST_00202,41,F,Phoenix,2022-07-01,93
CUST_00203,47,M,New York,2021-11-24,67
CUST_00204,47,F,New York,2023-04-03,74
CUST_00205,18,M,Houston,2021-11-05,84
CUST_00206,23,F,Houston,2022-03-16,66
CUST_00207,41,Other,Philadelphia,2023-01-18,27
CUST_00208,41,M,Philadelphia,2023-09-09,32
CUST_00209,41,F,San Jose,2023-03-07,56
CUST_00210,80,M,Philadelphia,2022-10-13,10
CUST_00211,41,F,New York,2023-07-24,40
CUST_00212,48,F,San Jose,2022-09-24,17
CUST_00213,46,M,Dallas,2023-12-29,58
CUST_00214,42,M,San Antonio,2021-04-30,97
CUST_00215,31,M,San Antonio,2021-12-23,6
CUST_00216,44,F,San Antonio,2021-07-19,39
CUST_00217,25,F,Los Angeles,2021-12-26,18
CUST_00218,32,M,Los Angeles,2023-04-07,73
CUST_00219,29,F,Philadelphia,2021-04-11,72
CUST_00220,35,F,San Antonio,2022-08-07,89
CUST_00221,62,M,Chicago,2021-11-12,95
CUST_00222,18,M,Houston,2023-07-03,42
CUST_00223,43,F,Chicago,2022-07-31,4
CUST_00224,18,F,San Antonio,2021-06-11,20
CUST_00225,29,M,San Antonio,2023-09-15,28
CUST_00226,48,M,Houston,2021-07-24,40
CUST_00227,35,M,San Antonio,2022-04-01,65
CUST_00228,22,F,Phoenix,2023-03-02,44
CUST_00229,26,M,New York,2021-08-23,23
CUST_00230,43,M,San Jose,2022-03-18,57
CUST_00231,26,F,Houston,2022-07-31,47
CUST_00232,37,F,San Antonio,2022-04-18,13
CUST_00233,35,M,Los Angeles,2023-06-12,16
CUST_00234,27,M,Los Angeles,2023-07-29,90
CUST_00235,60,F,New York,2022-12-15,55
CUST_00236,42,M,Los Angeles,2021-11-12,95
CUST_00237,18,M,San Jose,2023-07-20,65
CUST_00238,37,F,San Diego,2022-06-28,81
CUST_00239,27,M,San Diego,2021-04-30,16
CUST_00240,45,F,San Diego,2021-10-26,37
CUST_00241,25,F,New York,2021-06-01,52
CUST_00242,33,M,New York,2022-07-07,10
CUST_00243,41,M,San Jose,2021-06-05,38
CUST_00244,45,F,Houston,2024-01-01,44
CUST_00245,20,F,Philadelphia,2022-04-28,95
CUST_00246,30,F,San Diego,2023-02-04,74
CUST_00247,29,F,Los Angeles,2022-08-19,54
CUST_00248,27,M,Chicago,2023-12-13,98
CUST_00249,56,F,Philadelphia,2023-09-09,51
CUST_00250,39,M,San Jose,2021-05-25,52
CUST_00251,19,M,Houston,2022-12-26,70
CUST_00252,46,M,Los Angeles,2021-07-16,92
CUST_00253,60,M,San Antonio,2021-09-02,92
CUST_00254,47,F,Houston,2021-09-27,59
CUST_00255,18,M,San Diego,2023-02-21,13
CUST_00256,29,M,San Diego,2023-05-01,41
CUST_00257,50,M,San Antonio,2023-11-03,12
CUST_00258,26,F,San Jose,2023-04-30,50
CUST_00259,40,F,Dallas,2021-07-16,57
CUST_00260,44,M,Houston,2022-05-31,50
CUST_00261,23,M,San Antonio,2021-05-07,57
CUST_00262,34,M,San Jose,2023-10-13,54
CUST_00263,18,F,San Jose,2023-10-06,66
CUST_00264,22,F,New York,2021-12-13,8
CUST_00265,31,F,Houston,2022-08-22,63
CUST_00266,20,F,Los Angeles,2021-09-18,9
CUST_00267,54,M,Dallas,2023-10-23,60
CUST_00268,18,F,Phoenix,2021-11-14,63
CUST_00269,29,F,Chicago,2022-07-05,72
CUST_00270,36,M,Houston,2021-11-08,3
CUST_00271,52,M,Philadelphia,2023-08-26,73
CUST_00272,18,F,San Jose,2023-08-23,13
CUST_00273,48,F,New York,2022-02-25,9
CUST_00274,35,M,San Antonio,2022-09-02,95
CUST_00275,23,F,San Diego,2021-05-07,89
CUST_00276,40,F,San Antonio,2022-06-18,52
CUST_00277,37,M,San Antonio,2023-07-16,62
CUST_00278,27,M,Dallas,2023-04-05,8
CUST_00279,35,M,Houston,2022-07-10,95
CUST_00280,30,F,San Antonio,2021-07-22,45
CUST_00281,36,M,Dallas,2022-04-20,53
CUST_00282,42,M,Phoenix,2022-10-25,63
CUST_00283,54,F,Los Angeles,2021-04-19,95
CUST_00284,20,F,Phoenix,2023-05-30,81
CUST_00285,60,M,Houston,2021-05-25,57
CUST_00286,18,M,San Diego,2022-06-28,54
CUST_00287,33,F,Phoenix,2021-11-19,19
CUST_00288,42,F,Dallas,2021-12-15,67
CUST_00289,38,F,Dallas,2022-01-25,46
CUST_00290,27,M,Chicago,2023-06-10,94
CUST_00291,32,F,San Jose,2022-01-01,10
CUST_00292,29,F,Philadelphia,2023-02-16,93
CUST_00293,27,F,Philadelphia,2022-11-19,18
CUST_00294,45,F,Houston,2022-02-13,12
CUST_00295,39,M,San Jose,2022-03-07,49
CUST_00296,26,M,Chicago,2022-12-15,23
CUST_00297,45,F,New York,2022-10-10,62
CUST_00298,38,F,San Antonio,2021-06-24,11
CUST_00299,44,F,Phoenix,2022-07-21,73
CUST_00300,42,M,San Jose,2022-09-26,56
CUST_00301,25,F,San Antonio,2023-08-31,88
CUST_00302,28,F,New York,2023-04-23,89
CUST_00303,43,M,San Diego,2023-05-16,55
CUST_00304,42,M,Chicago,2023-10-28,25
CUST_00305,34,F,San Antonio,2023-01-20,9
CUST_00306,36,F,Chicago,2023-12-11,12
CUST_00307,50,F,Chicago,2022-05-09,11
CUST_00308,27,F,San Jose,2022-06-13,38
CUST_00309,41,M,Dallas,2023-05-11,28
CUST_00310,32,M,Los Angeles,2022-05-09,8
CUST_00311,32,F,Houston,2023-05-21,74
CUST_00312,48,F,Philadelphia,2023-12-25,89
CUST_00313,44,F,Chicago,2023-10-21,47
CUST_00314,44,F,San Jose,2022-01-07,36
CUST_00315,50,M,San Jose,2022-03-26,50
CUST_00316,35,F,San Antonio,2023-11-02,9
CUST_00317,43,M,San Antonio,2023-05-12,60
CUST_00318,31,M,Phoenix,2023-10-24,72
CUST_00319,38,M,Chicago,2021-06-18,67
CUST_00320,33,M,Los Angeles,2023-11-30,53
CUST_00321,36,M,Houston,2021-08-04,82
CUST_00322,42,M,Houston,2023-01-28,99
CUST_00323,25,M,San Diego,2023-10-21,17
CUST_00324,60,M,San Diego,2022-07-24,53
CUST_00325,22,F,Phoenix,2023-05-03,28
CUST_00326,20,M,Philadelphia,2023-03-22,63
CUST_00327,48,M,San Diego,2022-02-15,15
CUST_00328,44,F,New York,2022-08-22,19
CUST_00329,42,F,Phoenix,2023-05-27,86
CUST_00330,42,F,Houston,2022-06-28,70
CUST_00331,34,M,Houston,2023-08-19,47
CUST_00332,24,F,Los Angeles,2021-12-22,71
CUST_00333,35,M,San Jose,2021-05-19,48
CUST_00334,26,M,New York,2021-07-12,73
CUST_00335,46,M,Philadelphia,2022-05-27,20
CUST_00336,33,F,San Antonio,2022-05-21,37
CUST_00337,25,M,Phoenix,2022-09-04,75
CUST_00338,31,M,San Diego,2023-04-28,2
CUST_00339,39,M,Dallas,2021-10-20,64
CUST_00340,28,F,Los Angeles,2022-09-04,86
CUST_00341,25,F,Houston,2021-09-27,36
CUST_00342,37,M,Dallas,2022-11-11,5
CUST_00343,37,F,Phoenix,2023-06-21,64
CUST_00344,28,F,Chicago,2023-09-27,7
CUST_00345,29,F,Philadelphia,2023-09-24,70
CUST_00346,37,M,Chicago,2022-02-26,22
CUST_00347,18,F,Phoenix,2022-10-17,74
CUST_00348,18,M,Chicago,2023-01-04,46
CUST_00349,26,F,Philadelphia,2022-10-25,40
CUST_00350,32,M,San Jose,2022-11-07,61
CUST_00351,38,M,Phoenix,2022-09-10,46
CUST_00352,52,M,Dallas,2021-07-31,84
CUST_00353,45,F,Chicago,2021-12-16,28
CUST_00354,33,M,Philadelphia,2023-11-07,87
CUST_00355,34,F,San Diego,2022-02-11,35
CUST_00356,22,M,San Antonio,2022-03-03,1
CUST_00357,34,F,Philadelphia,2022-03-11,29
CUST_00358,31,F,Los Angeles,2023-09-23,9
CUST_00359,38,F,San Antonio,2023-10-31,9
CUST_00360,25,F,San Diego,2022-11-15,22
CUST_00361,41,F,New York,2021-12-17,63
CUST_00362,53,M,Dallas,2023-01-19,66
CUST_00363,33,F,Houston,2021-10-04,80
CUST_00364,39,M,San Diego,2021-08-02,58
CUST_00365,43,F,San Jose,2023-09-12,70
CUST_00366,30,F,San Antonio,2023-04-22,55
CUST_00367,37,M,San Jose,2023-06-19,13
CUST_00368,35,M,San Antonio,2023-06-21,97
CUST_00369,36,M,Los Angeles,2022-07-01,19
CUST_00370,25,F,New York,2022-09-29,79
CUST_00371,35,F,Houston,2023-08-11,33
CUST_00372,40,F,Los Angeles,2022-10-26,74
CUST_00373,52,F,San Diego,2023-06-28,65
CUST_00374,46,F,San Jose,2023-03-22,60
CUST_00375,60,M,San Antonio,2022-09-15,12
CUST_00376,25,M,San Diego,2023-04-21,43
CUST_00377,45,F,Philadelphia,2021-07-20,93
CUST_00378,37,F,New York,2021-05-31,17
CUST_00379,61,F,Dallas,2023-10-16,68
CUST_00380,25,M,Philadelphia,2022-10-05,29
CUST_00381,24,M,San Jose,2021-09-26,55
CUST_00382,27,M,New York,2021-08-02,7
CUST_00383,18,M,New York,2021-08-08,44
CUST_00384,28,M,San Diego,2022-06-17,77
CUST_00385,25,F,Philadelphia,2023-09-23,5
CUST_00386,36,M,San Diego,2023-11-11,60
CUST_00387,39,F,San Diego,2022-03-05,6
CUST_00388,57,M,San Diego,2022-06-27,98
CUST_00389,46,F,San Jose,2021-08-28,7
CUST_00390,28,M,San Antonio,2023-12-17,46
CUST_00391,24,M,San Antonio,2021-04-14,57
CUST_00392,40,M,San Jose,2023-09-28,54
CUST_00393,19,Other,Houston,2021-05-28,92
CUST_00394,56,F,Dallas,2021-11-21,46
CUST_00395,49,M,Los Angeles,2021-08-15,10
CUST_00396,29,M,Dallas,2023-05-04,4
CUST_00397,18,F,San Jose,2023-07-15,67
CUST_00398,51,M,Chicago,2022-11-11,25
CUST_00399,33,M,Los Angeles,2022-08-22,87
CUST_00400,49,F,Houston,2022-08-27,91
CUST_00401,18,F,Phoenix,2023-05-28,78
CUST_00402,27,M,Los Angeles,2021-07-30,61
CUST_00403,35,M,New York,2022-11-17,38
CUST_00404,35,F,San Jose,2021-06-21,32
CUST_00405,29,M,Phoenix,2023-11-02,23
CUST_00406,42,M,Dallas,2023-07-17,37
CUST_00407,22,F,Phoenix,2022-12-09,3
CUST_00408,33,F,San Jose,2023-12-30,99
CUST_00409,36,M,Dallas,2022-11-28,13
CUST_00410,41,Other,San Jose,2023-04-05,34
CUST_00411,43,F,Philadelphia,2021-05-28,88
CUST_00412,21,M,Chicago,2021-10-21,65
CUST_00413,18,Other,Houston,2021-10-20,76
CUST_00414,50,M,Houston,2022-09-23,8
CUST_00415,38,M,New York,2023-03-15,83
CUST_00416,26,F,Chicago,2022-10-25,9
CUST_00417,53,M,Chicago,2022-01-18,28
CUST_00418,36,M,New York,2021-04-26,78
CUST_00419,49,M,Dallas,2021-12-14,91
CUST_00420,35,M,New York,2021-10-21,18
CUST_00421,59,F,Dallas,2022-06-11,42
CUST_00422,56,F,New York,2022-02-23,41
CUST_00423,32,Other,Los Angeles,2021-12-27,70
CUST_00424,46,M,Los Angeles,2022-08-21,33
CUST_00425,42,M,Philadelphia,2023-07-27,89
CUST_00426,51,M,San Antonio,2023-06-21,77
CUST_00427,23,M,New York,2023-03-04,54
CUST_00428,43,M,Chicago,2023-05-24,87
CUST_00429,47,F,Los Angeles,2021-04-15,36
CUST_00430,18,F,San Diego,2023-11-03,97
CUST_00431,20,Other,Dallas,2022-05-18,85
CUST_00432,18,M,Los Angeles,2021-12-09,98
CUST_00433,31,F,Los Angeles,2022-06-25,56
CUST_00434,43,M,San Jose,2023-10-31,17
CUST_00435,53,M,Dallas,2021-11-27,10
CUST_00436,35,F,Houston,2023-02-14,87
CUST_00437,54,F,Phoenix,2023-11-04,44
CUST_00438,18,M,Dallas,2023-11-11,2
CUST_00439,18,M,Philadelphia,2022-05-13,99
CUST_00440,34,M,San Jose,2022-08-31,14
CUST_00441,39,F,Dallas,2022-08-05,41
CUST_00442,34,M,Dallas,2021-06-04,2
CUST_00443,18,Other,San Antonio,2021-08-11,19
CUST_00444,33,M,San Jose,2022-07-07,80
CUST_00445,19,M,Dallas,2023-07-24,89
CUST_00446,43,F,Phoenix,2023-11-04,1
CUST_00447,39,F,Phoenix,2021-04-23,2
CUST_00448,23,M,San Diego,2022-07-30,27
CUST_00449,28,F,San Jose,2023-10-11,2
CUST_00450,22,F,Houston,2021-08-13,94
CUST_00451,34,F,Dallas,2023-06-25,51
CUST_00452,46,F,San Antonio,2023-10-23,10
CUST_00453,23,F,San Antonio,2022-05-02,19
CUST_00454,41,F,Chicago,2023-10-24,80
CUST_00455,28,F,Houston,2022-02-09,13
CUST_00456,25,M,San Antonio,2021-08-02,48
CUST_00457,33,M,Phoenix,2023-05-06,56
CUST_00458,22,M,Chicago,2022-11-14,72
CUST_00459,28,M,New York,2023-09-01,56
CUST_00460,20,M,San Antonio,2021-05-12,50
CUST_00461,58,Other,Philadelphia,2021-07-04,95
CUST_00462,35,M,San Jose,2022-05-28,45
CUST_00463,26,M,San Antonio,2023-04-24,89
CUST_00464,37,F,Los Angeles,2022-05-19,59
CUST_00465,33,M,Houston,2022-05-03,39
CUST_00466,32,M,Los Angeles,2023-11-22,21
CUST_00467,42,M,San Diego,2022-04-07,55
CUST_00468,44,M,San Antonio,2023-10-10,57
CUST_00469,28,M,New York,2022-10-29,41
CUST_00470,28,F,Los Angeles,2022-02-27,93
CUST_00471,31,F,Los Angeles,2022-05-14,70
CUST_00472,18,M,Houston,2022-06-02,82
CUST_00473,18,M,Chicago,2022-07-15,49
CUST_00474,51,M,New York,2023-02-12,44
CUST_00475,54,F,Los Angeles,2021-05-19,35
CUST_00476,32,M,Dallas,2023-04-09,91
CUST_00477,41,M,New York,2023-06-06,5
CUST_00478,38,F,Dallas,2022-02-15,71
CUST_00479,71,M,San Antonio,2021-12-29,74
CUST_00480,48,M,Los Angeles,2023-02-14,74
CUST_00481,33,M,Los Angeles,2023-05-02,51
CUST_00482,23,F,Phoenix,2023-04-05,57
CUST_00483,18,F,Phoenix,2022-11-22,58
CUST_00484,37,F,Houston,2023-08-20,92
CUST_00485,25,F,San Jose,2022-02-13,36
CUST_00486,18,F,San Jose,2022-03-12,10
CUST_00487,27,Other,Chicago,2023-02-28,50
CUST_00488,22,Other,Houston,2022-09-20,99
CUST_00489,55,M,San Jose,2023-02-12,99
CUST_00490,45,F,Houston,2021-05-25,37
CUST_00491,34,M,Los Angeles,2021-11-23,20
CUST_00492,52,M,Phoenix,2021-05-18,13
CUST_00493,35,F,Phoenix,2023-10-19,75
CUST_00494,24,M,Phoenix,2023-12-23,19
CUST_00495,53,F,San Jose,2022-09-19,92
CUST_00496,41,M,New York,2022-04-05,56
CUST_00497,22,F,Philadelphia,2022-06-04,45
CUST_00498,32,F,Los Angeles,2023-09-21,60
CUST_00499,24,F,San Antonio,2023-10-18,68
CUST_00500,18,M,Houston,2022-06-30,57
CUST_00501,46,M,Phoenix,2023-05-28,54
CUST_00502,57,F,Phoenix,2022-08-01,37
CUST_00503,18,M,Phoenix,2023-04-05,83
CUST_00504,41,Other,Los Angeles,2023-08-19,37
CUST_00505,27,F,Phoenix,2021-05-21,14
CUST_00506,29,M,Chicago,2023-01-09,95
CUST_00507,27,M,Houston,2021-07-13,92
CUST_00508,24,M,Los Angeles,2023-10-23,44
CUST_00509,35,F,Houston,2021-07-15,83
CUST_00510,25,M,Dallas,2023-04-26,42
CUST_00511,38,M,San Diego,2022-12-19,1
CUST_00512,34,M,Chicago,2023-03-16,23
CUST_00513,32,F,New York,2023-07-24,64
CUST_00514,24,M,New York,2022-10-10,28
CUST_00515,28,M,Philadelphia,2021-08-31,4
CUST_00516,44,F,Chicago,2022-06-24,41
CUST_00517,41,F,Houston,2022-01-11,60
CUST_00518,23,F,New York,2023-02-26,18
CUST_00519,36,M,San Diego,2022-04-15,63
CUST_00520,44,M,New York,2021-09-27,61
CUST_00521,18,F,Phoenix,2022-03-03,49
CUST_00522,41,M,Philadelphia,2022-07-09,47
CUST_00523,27,F,Los Angeles,2023-12-24,39
CUST_00524,41,F,San Antonio,2022-02-17,89
CUST_00525,25,M,San Antonio,2021-09-17,82
CUST_00526,18,F,New York,2022-06-13,6
CUST_00527,18,F,Houston,2023-03-01,83
CUST_00528,35,M,Houston,2021-05-22,53
CUST_00529,38,F,Phoenix,2022-02-21,76
CUST_00530,24,M,New York,2023-09-17,25
CUST_00531,42,M,New York,2021-05-15,99
CUST_00532,18,M,San Antonio,2021-07-16,65
CUST_00533,34,F,Dallas,2023-08-17,5
CUST_00534,20,F,New York,2023-04-06,65
CUST_00535,27,F,Los Angeles,2023-09-05,8
CUST_00536,35,M,Philadelphia,2021-07-04,39
CUST_00537,24,F,Philadelphia,2023-09-14,43
CUST_00538,30,M,Los Angeles,2021-12-02,82
CUST_00539,47,F,Dallas,2022-06-14,73
CUST_00540,28,M,Houston,2023-07-26,5
CUST_00541,45,M,San Antonio,2023-03-29,4
CUST_00542,21,M,Philadelphia,2023-03-19,93
CUST_00543,41,F,Chicago,2022-04-22,1
CUST_00544,52,M,San Diego,2023-05-31,94
CUST_00545,18,F,San Antonio,2021-12-28,56
CUST_00546,25,M,Dallas,2023-01-15,45
CUST_00547,41,M,Chicago,2023-06-07,65
CUST_00548,32,M,New York,2022-01-28,3
CUST_00549,39,F,Los Angeles,2022-03-23,22
CUST_00550,27,F,New York,2021-08-11,72
CUST_00551,36,M,Phoenix,2023-04-06,56
